,SPY_Close,DXY_Close,EURUSD_Close
Ticker,SPY,DX-Y.NYB,EURUSD=X
Date,,,
2025-08-15,643.4400024414062,97.8499984741211,1.1651345491409302
2025-08-18,643.2999877929688,98.16999816894531,1.1706587076187134
2025-08-19,639.8099975585938,98.2699966430664,1.1668338775634766
2025-08-20,638.1099853515625,98.22000122070312,1.164252758026123
2025-08-21,635.5499877929688,98.62000274658203,1.165175199508667
2025-08-22,645.3099975585938,97.72000122070312,1.16130530834198
2025-08-25,642.469970703125,98.43000030517578,1.1709601879119873
2025-08-26,645.1599731445312,98.2300033569336,1.1618449687957764
2025-08-27,646.6300048828125,98.2300033569336,1.1639411449432373
2025-08-28,648.9199829101562,97.80999755859375,1.1647952795028687
2025-08-29,645.0499877929688,97.7699966430664,1.1681560277938843
2025-09-01,,,1.1691803932189941
2025-09-02,640.27001953125,98.4000015258789,1.1715912818908691
2025-09-03,643.739990234375,98.13999938964844,1.163602590560913
2025-09-04,649.1199951171875,98.3499984741211,1.16604483127594
2025-09-05,647.239990234375,97.7699966430664,1.1656913757324219
2025-09-08,648.8300170898438,97.44999694824219,1.1713168621063232
2025-09-09,650.3300170898438,97.79000091552734,1.1769136190414429
2025-09-10,652.2100219726562,97.77999877929688,1.1702749729156494
2025-09-11,657.6300048828125,97.54000091552734,1.1703435182571411
2025-09-12,657.4099731445312,97.55000305175781,1.1734747886657715
2025-09-15,660.9000244140625,97.39800262451172,1.1763322353363037
